"번호","운영기관명","상품명","운영기관구분","상품구분","학자금유형구분","대학구분","학년구분","학과구분","성적기준 상세내용","소득기준 상세내용","지원내역 상세내용","특정자격 상세내용","지역거주여부 상세내용","신청접수일 등 상세내용","선발방법 상세내용","선발인원 상세내용","자격제한 상세내용","추천방법 상세내용","제출서류 상세내용"
"63","실로암시각장애인복지관","효명장학사업","민간(기타)","장학금","장애인","4년제(5~6년제포함)/전문대학원/해외대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/박사과정/석사2학기이상/석사신입생(1학기)","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음"," * 4년제 정규대학15학점 이상 이수자 (단/ 졸업학기 신청자일경우 12학점 이수자도 신청 가능) * 로스쿨9학점 이상 이수자 * 석·박사 과정의 해외유학생해당 대학원 풀타임 등록 기준 학점","해당없음"," * 본 효명장학금은 시각장애 대학생들이 학업에 필요한 추가비용을 지원하는 것임으로 대학교에서 장학금을 지원받았더라도 중복수령이 가능함. ","222학기 등록 예정자 (국내 학사 8학기/ 해외 석사 4학기/ 해외 박사 6학기까지 지원 가능)성적이 우수하고 인성과 품행이 반듯한 시각장애대학생직전학기 성적 증빙이 가능한 시각장애대학생","주민등록상 서울시 거주자 또는 서울시 소재 4년제 대학 재학중인 중증시각장애인예체능/ 이공계 전공자로서 전국 소재 4년제 정규대학에 재학중인 자","2022-07-11~2022-07-22","(1차) 서류심사(2차) 논술심사(신규지원자 직업능력평가 실시)(3차) 면접심사","해외 대학원 석·박사 및 국내 로스쿨 분야 3명 이내국내대학교 이공계 분야 3명이내국내대학교 경상계열 2명 이내국내대학교 예체능 2명 이내국내대학교 사회복지 및 인문사회분야 3명 이내국내대학교 교육분야 3명 이내국내대학교 기타분야 ○명 이내","해당없음","해당없음"," * 1차 서류2022년 하반기 효명장학금 신청서자기소개서개인정보 수집·활용 동의서2022학년도 1학기 성적증명서주민등록등본장애인복지카드사회봉사활동/ 외국어성적/ 자격증 사본 등 증빙서류 (해당자) * 2차 서류2022년 2학기 등록금납입 영수증개인 통장 사본 ※ 자세한 사항 홈페이지 공고 참조"
"64","홍천군무궁화장학회","우수학생장학금","지자체","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","해당없음","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음"," * 신입생 : 국어/ 영어/ 수학 영역 중 2개 과목 등급의 합이 4이내이고/ 탐구영역(한국사 포함) 중 2개 과목 등급의 합이 4이내인 사람 * 재학생(1/2학기 총25학점이상 이수/ 정규학기 이내에 한함)  2~3년제 대학생 : 직전 학년 성적 평점평균  A°(4.0/4.5) 또는 A(3.7/4.3) 학점 이상4년제 대학 재학생 :  직전 학년 성적 평점평균 B+(3.5/4.5)학점 이상","해당없음","대학생(신입생) : 연간 1000000원대학생(재학생)  : 연간 3000000원","신입생 : 관내에서 중학교/ 고등학교를 모두 졸업하고 국내 대학에 입학한 자재학생 : 관내에서 중학교를 졸업하고 국내 대학에 재학 중인 자","장학생 선발공고일 현재 부모 또는 자녀가 홍천군에 주소지를 두고 5년이상 계속 거주하여야 함.","2022-02-01~2022-02-20","해당없음","0명(추후 운영위원회에서 결정)","해당없음","해당없음","* 신입생중·고등학교 졸업증명서합격통지서2022년도 대학수학능력시험 성적통지서전·출입 사항이 기록된 주민등록등본 * 재학생중학교 졸업증명서쟇가증명서직전년도 성적증명서전·출입 사항이 기록된 주민등록등본 * 자세한 사항은 첨부파일 또는 홈페이지 공지사항 참고"
"65","홍천군무궁화장학회","예·체·기능특기장학생","지자체","장학금","특기자","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","대학생(신입생) : 연간 1000000원대학생(재학생)  : 연간 3000000원","관내에서 중학교(관외 특수목적 중 포함)를 졸업하고/ 관내/외 고등학교 및 국내 대학교에 입학/재학 중인 자문화·예술·체육·기능 분야의 도단위 공인대회 1위입상 또는 전국단위 이상 공인대회 3위로 입상한 자 ","장학생 선발공고일 현재 부모 또는 자녀가 홍천군에 주소지를 두고 5년이상 계속 거주하여야 함.","2022-02-01~2022-02-20","해당없음","0명(추후 운영위원회에서 결정)","해당없음","해당없음","중학교 졸업증명서개인정보 수집/이용/제공 동의서전출입(주소이전)사항이 기록된 주민등록등본   (학생 주소가 관외일 경우 가족관계증명서 1부 추가 제출)전년도 수상실적 증명서류(상장 등)재학증명서"
"66","홍천군무궁화장학회","특별장학생","지자체","장학금","지역연고","특정대학","대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","3000000원","학교별 특색 및 다양한 인재양성 지원을 위해 학교장이 추천한 자","장학생 선발공고일 현재 부모 또는 자녀가 홍천군에 주소지를 두고 5년이상 계속 거주한 자","2021-02-01~2021-02-20","해당없음","해당없음","해당없음","출신고등학교 학교장의 추천로 선발"," * 출신 고등학교 장의 추천으로 선발되는 장학금이므로/ 출신 학교 행정실로 문의"
"67","홍천군무궁화장학회","고시합격자","지자체","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","3000000원","관내 중학교를 졸업하고/ 재학 중 직전년도 고등(사법/ 행정/ 외무/ 기술) 고시에 합격한 자","장학생 선발공고일 현재 부모 또는 자녀가 홍천군에 주소지를 두고 5년이상 계속 거주한 자","2021-02-01~2021-02-20","해당없음","해당없음","해당없음","해당없음","중학교 졸업증명서개인정보 수집·이용 제공 동의서전·출입(주소이전)사항이 기록된 주민등록등본고등학교 졸업증명서합격통지서 * 자세한 사항은 첨부파일 참고"
"68","대정농협","조합원자녀장학생","민간(기업)","장학금","기타","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","조합원으로서 극빈자. 경제적 어려움이 있는 조합원 자녀","1인당 1500000원","우리농협 조합원 본인 및 배우자 /자녀 또는 손자로서 국내대학(교)에 재학중(신입생포함)인 자장학생 선발 공고일 현재 우리농협의 조합원 자격 취득 후 2년이 경과한 자자","해당없음","2021-02-22~2021-03-12","농협에서 정한 평가방법에 의거 점수로 평가하여 득점순으로 선발","대학생 66명 ~70명 내외 ","공고일 기준 최근 2년간 본 장학금 수혜를 받은타장학금 또는 이와 유사한 학비면제 혜택을 받은 조합원자녀우리농협에 상각채권을 보유한 조합원 자녀현재 재직중인 상근임원/직원/정부기관/정부투자기관/행정기관/기타 유사기관의 상근임원 및 직원의 자녀* 자세한 사항은 첨부자료 참고.","해당없음","조합원 및 조합원 자녀 장학생 신청서(농협비치)조합원 자녀를 확인 할 수 있는 서류 (가족관계증명서)등록금 납입증명서 또는 영수증 원본재학증명서직전학기 성적증명서(신입생인 경우 고등학교 3학년 2학기 성적증명서)기초생활수급자증명서 (해당자)농협관련 표창장 및 표창패(부/모) (해당자)농업경영체 등록확인서건강보험자격득실확인서 (부/모) 각 1통개인신용정보의 제공/이용 동의서 (부/모/자녀) (농협비치)  * 자세한 사항은 홈페이지 공지사항 참고"
"69","금왕장학회","성적 장학생","민간(기타)","장학금","지역연고","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음"," * 신입생 수능 응시자 : 4개 영역 중 2개 영역 이상이 2등급 이내(탐구영역은 2개 과목 평균)수능 미응시자 : 고등학교 2학년(2학기) 3학년(1학기) 전 과목 석차등급 (예체능 제외)평균 2등급 이내 * 재학생 : 직전(前)학년 성적이 4.5점 만점에 4.0점 이상인 자로 하되 기초생활 수급자의 경우 4.0 이상이면 우선선발 (만점이 4.3인 학교는 4.5점으로 환산하여 성적증명서 제출) * 1순위 대학 재학자로서 직전학년 성적 3.5 이상인 자는 우선선발1순위 대학교 : 서울대/ 연세대/ 고려대/ 포항공대/ 한국과학기술원 * 편입생은 편입전 학교의 직전학년 성적/ 복학생은 휴학전의 직전학년 성적으로 심의","해당없음","1인당 2500000원 / 2회에 걸쳐 지급","해당없음","공고일 현재 1년 이상 금왕읍에 거주하고 있는 읍민 또는 읍민의 자녀 ","2022-02-07~2022-02-25","장학생은 심의위원회의 심의를 거쳐 이사회 의결 확정 ","6명 ","타 장학금 수여자 중복신청 불가22년 중 휴학예정자/ 군입대 예정자/ 졸업예정자 ","해당없음","장학생 신청서개인정보제공동의서주민등록등본 (부모와 주소지가 다를 경우 가족관계증명서 첨부)통장사본 (친권자 또는 본인)(해당자) 기초생활수급자 증명서신입생 (수능응시자) : 수능성적표 사본/ 고교 생활기록부 사본신입생 (수능미응시자) : 생활기록부 사본/ 수능미응시확인서재학생 : 성적증명서"
"70","금왕장학회","특기장학생","민간(기타)","장학금","특기자","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","1인당 2500000원","공공기관 및 민간단체가 주최/주관한 전국규모 이상 대회에서 3위 이상 수상 및 국가대표로 선발된 자단체로 수상한 경우 학교장 추천을 받은 1명만 신청수상실적 : 2021.1.1~2021.12.31","공고일 현재 1년 이상 금왕읍에 거주 하고있는 읍민 또는 읍민의 자녀","2022-02-07~2022-02-25"," * 대회규모별 수상실적 순으로 평가전국대회 < 아시아대회 < 세계대회동 < 은 < 금","총 7명(성적장학생 포함)","타 장학금 수여자 중복신청 불가","단체 수상일 경우 학교장 추천","장학생 신청서개인정보제공동의서주민등록등본 (부모와 주소지가 다를 경우 가족관계증명서)통장사본 (친권자 또는 본인)기초생활수급자 증명서 (해당자)장학생별 필요서류특기장학생 : 상장사본 및 재학증명서 * 자세한 사항은 첨부자료 참고"
"71","청도농협","조합원자녀장학생","민간(기업)","장학금","기타","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","1000000원","조합원 자녀로서 국내대학 재학생조합원가입 기준일: 2020년 12월 31일 이전 가입자에 한함청도농협 카드/콕뱅크/콕팜 가입자","해당없음","2022-03-07~2022-03-18","이용고 점수(2021년도 실적기준 100점 이상) 80점 + 출자금 잔액(신청일 기준 300만원 이상) 20점","50명","방통대 및 사이버대 제외특수 채권 보유 조합원","해당없음","청도농협 장학생 신청서재학증명서 1부가족관계증명서 1부"
"72","대전광역시 동구차세대인재육성장학재단","성적우수장학생","지자체","장학금","지역연고","4년제(5~6년제포함)/특정대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","2017년도 상반기 성적이 평균 A학점 이상인 자","해당없음","2000000원","해당없음","1. 선발공고일 현재 동구에 주소를 두고 1년 이상 계속 거주하는 자(자녀)2. 대전광역시 소재 대학교 재학생","해당없음","해당없음","4명","2017년도 타 장학금 수혜자는 제외(단/ 본 장학재단 장학금 지원액의 50%미만 수혜자는 신청 가능)2016년도 본 장학재단 장학금 수혜자 신청 가능","각 학교장(총장)","장학금 지원 신청서(반명함판 사진 부착)장학생 추천서학교생활기록부(고등학생)주민등록등본기타입증서류/수급자/한부모가정/국가유공자 증명서 등개인정보 제공 동의서2017년 상반기 성적증명서(대학생)"
"73","대전광역시 동구차세대인재육성장학재단","특기장학생","지자체","장학금","특기자","4년제(5~6년제포함)/전문대(2~3년제)/특정대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","최근 1년간 체육/ 문화/예술/ 과학/ 기술/ 수학 및 외국어경시/ 컴퓨터/ 기능올림픽 등 각종 특기분야 대회에서 입상한 자 * 대회기준은 전국대회 이상으로 한정함그 외 분야에서 국가 또는 대전 동구의 위상을 크게 빛낸 자","해당없음","2000000원","해당없음","선발공고일 현재 동구에 주소를 두고 1년 이상 계속 거주하는 자(자녀)대전광역시 소재 대학교 재학생","해당없음","해당없음","1명","2019년도 타 장학금 수혜자는 제외(단/ 본 장학재단 장학금 지원액의 50%미만 수혜자는 신청 가능)2018년도 본 장학재단 장학금 수혜자 신청 가능","각 학교장(총장)","장학금 지원 신청서(반명함판 사진 부착)장학생 추천서주민등록등본기타입증서류/수급자/한부모가정/국가유공자 증명서 등개인정보 제공 동의서직전(공고일) 1년간의 각종 대회 입상(수상) 증명서(상장/ 상패/ 언론 보도자료 등)    ※ 대회 요강 사본 첨부"
"74","대선공익재단","대선장학생","민간(기업)","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)/특정대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","사회계열/특정학과","직전학기 평균성적이 C학점 이상이고/ 최소 12학점 이상 이수한 자 (장애학생은 성적기준 미적용)","가정형편이 어려운 자","1000000원 * 생활비 용도","사회복지 관련 전공자가정환경이 어렵지만 면학의지가 있고 타의 모범이 되는 자","부산소재 17개교울산소재 3개교경남소재 9개교 * 자세한 사항은 기관 홈페이지 참조","2022-07-22~2022-07-29","해당없음","해당없음","휴/정학자 / 자퇴 예정자 / 8학기 초과자 제외 ","개인별 추천 사유 기재 및 증명사진을 첨부한 학과장 추천서"," * 학교 추천 방식으로/ 신청시 각 학교 장학부서에 문의 필수 * 자세한 사항은 첨부자료 또는 대선공익재단 홈페이지 참고학과장 추천서재학증명서성적증명서자기소개서개인정보 활용 동의서"
"75","최경주재단","SKT최경주장학꿈나무","민간(기타)","장학금","특기자","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","예체능계열","신규장학생(가산점 기준) 1. 신입생 : 수능성적 30% 이내 가산점 부여 2. 재학생 : 이전학기 평점 4.0(4.5만점기준)이상 우대(3.8/4.3) 3. 대학원생: 대학원 입학 직전의 대학교 평점 4.0 이상 우대 (4.5만점 기준) (3.8/4.3)기존장학생 * 장학생 기간 중 학점 3.5 미만자 탈락 (4.5만점 기준 / 1학년은 제외)","기초생활수급자 차상위계층권 대상자"," * 진로개발비(학업비등록금) : 연간 4000000원(학기당 2000000원씩) * 사례관리 지원금 * '밝은세상선물'을 통해 라식 라섹시술지원","대한민국 국적 대학생 혹은 대학원 신입생으로 석사 학위 과정을 희망하는 자학업우수자/ 예체능 계열 우수재원(전국 및 도 단위 대회 입상자) * 자세한 사항은 홈페이지 공고 참고","해당없음","해당없음","서류심사가정방문최종선발","해당없음","국가장학금 및 교내장학금 중복지원 가능하나 유사 기관 및 기업 장학금의 중복 수령은 불가재단 자원봉사활동/ 필수재단행사 불참자의 경우 지원 제한  * 자세한 사항은 홈페이지 공고 참고","해당없음","장학 신청서자기소개서진로계발 계획서연간 자원봉사 활동 계획서주민등록등본가족관계증명서증명서류(재산증명 및 가정환경/ 학업증명 등)최경주재단 개인정보 제공 동의서  * 제출서류를 모두 취합하여 PDF파일을 카카오플러스 친구로 제출 ※ 자세한 사항은 홈페이지 공고 참고"
"76","원덕읍향토장학회","장학생","지자체","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","원덕읍향토장학회 이사회에 심의 및 의결에 의한 인원 및 금액 확정","원덕읍 지역출신의 재학생(전문대생/ 대학생)","공고일 기준 본인 또는 부모(친권자/ 후견인) 중 1인이상 원덕읍 관내에 3년이상 주민등록상 거주하고 있는 자원덕읍 관내 중학교 또는 고등학교 졸업자","2022-08-12~2022-08-26","1차서류심사 및 적격여부 검토원덕읍향토장학회 이사회에 상정심의 및 의결","원덕읍향토장학회 이사회에 심의 및 의결에 의한 인원 및 금액 확정","공고일 현재 휴학생원격대학(방송통신대/ 사이버대학)에 재학중인 자평생교육법에 의거 설립한 학교(직업전문학교 등) 재학중인 자","해당없음"," * 직접 또는 우편으로 신청장학금 신청서 및 추천서주민등록등본주민등록초본재학증명서통장사본 * 자세한 사항은 첨부파일 또는 홈페이지 공지사항 참고"
"77","삼성면장학회","성적우수장학생","지자체","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음"," * 신입생 수능 응시자 : 4개 영역 중 2개 영역 이상이 3등급 이내(탐구영역은 2개 과목 평균)수능 미응시자 : 고등학교 2학년(2학기)/ 3학년(1학기) 전 과목 석차등급(예체능 제외) 평균 3등급 이내인 자 * 재학생 : 직전학년 성적이 4.5점 만점에 3.3점 이상인 자 (장애학생인 경우 3.0이상)  * 편입생 및 복학생 : 편입 전 학교 혹은 휴학 전의 직전 학년 성적으로 심의 ※ 자세한 사항은 첨부파일 참고","해당없음","대학생(4년제) : 2500000원대학생(23년제): 1500000원","해당없음","공고일 현재 1년 이상 삼성면에 거주 하고 있는 면민 또는 면민의 자녀","2022-02-14~2022-03-04","장학생선발 심의위원회 심의","9명 (특기장학생 신청 없을 경우 10명)","40세 이상(1981.12.31 이전 출생한 자)방송대학/ 통신대학/ 방송통신대학 및 사이버 대학등의 원격 대학/ 대학의 계약학과/ 야간대학/ 평생교육원/ 학점은행 재학자","해당없음","신청서 주민등록등본(본인 또는 부모 중 주소가 삼성면인 자)통장사본(본인 또는 부모)성적증명서(계절학기 제외)신입생 : 수능성적표 사본/ 생활기록부 사본 신입생(수능미응시자) : 생활기록부 사본/ 대학합격증명서가족관계증명서(학생 주소가 음성군이 아닐 시) * 자세한 사항은 첨부파일 또는 홈페이지 게시판 참고"
"78","삼성면장학회","특기장학생","지자체","장학금","특기자","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","대학생(4년제) : 2500000원대학생(23년제): 1500000원","공공기관 및 민간단체가 주최/주관한 전국 규모 이상 대회에서 수상한 자 및 국가대표로 선발된 대학생 * 단체로 수상한 경우 학교장 추천을 받은 1명만 신청","공고일 현재 1년 이상 삼성면에 거주 하고 있는 면민 또는 면민의 자녀","2022-02-14~2022-03-04","장학생선발 심의위원회 심의","대학생 1명","40세 이상(1981.12.31 이전 출생한 자)방송대학/통신대학/ 방송통신대학 및 사이버대학 등의 원격 대학/ 대학의 계약학과/ 야간대학/ 평생교육원/ 학점은행 재학자","해당없음","신청서주민등록등본통장사본(본인 또는 부모)상장사본가족관계증명서(학생 주소가 음성군이 아닐시)단체수상자)학교장 추천서 * 자세한 사항은 첨부파일 또는 홈페이지 게시판 참고"
"79","성음문화재단","장학생","민간(기타)","장학금","성적우수","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","직전학기 성적이 B학점 이상인 자","경제적 사정으로 학업을 계속하기 어려운 자","1000000원 (매 학기 연 2회) * 결격사유가 없는 한 졸업 시까지 계속 지급함","정규대학에 재학 중 또는 신입생소행이 단정하여 타의 모범이 되는 자휴학 예정이 없는 학생","해당없음","2022-01-11~2022-01-23","해당없음","O명","학업을 태만히 하여 추천 당시의 성적 평균에 미달된 자소속 학교에서 퇴학/ 정학/ 전학/ 징계 처분을 받은 자휴학/ 군입대/ 질병 기타 사유로 학업을 중단하는 자교내장학금과 국가장학금으로 등록금 전액 장학금을 수혜한 학생221학기 기준 4학년 2학기 생","추천서 제출","221학기 또는 212학기 소득분위 증명서성적증명서 (212)지원서 * 기관에서 학교로 추천을 의뢰하는 장학금으로/ 소속 학교 장학팀으로 우선 문의"
"80","울진군장학재단","특기장학금","지자체","장학금","특기자","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","직전학기 평점 2.0 이상/ 12학점 이상 이수 * 최종학년 재학중인 자 6학점 이상 이수","해당없음","1위2500000원2위2000000원3위1500000원"," * 전문대/ 4년제 재학생 또는 국내에서 학사 자격을 취득할 수 있는 해외대학 재학생21년도 대학생으로/ 재학기간 중 예·체능 도 단위이상 대회에서 3위 이상 입상한 자","공고일 기준으로 부모(보호자)가 주민등록을 울진군에 2년이상 두고 실거주중 자 ※ 학생 본인만 울진군에 주소지를 두고 타지역 대학에 재학중인 학생은 제외(단독세대/ 조손가정/ 소년소녀가장 신청가능)","기관 확인 필요","해당없음"," * 총 1/390명1차 선발 : 1/200명2차 선발 : 190명","타 장학금(학자금)을 연 200만원 이상 지급받고 있는 경우에는 미지급대학원 및 정규대학교육과정을 초과하여 재학중인 자동일학년에 한해 휴학 전 울진군대학생장학금을 지급받은 복학생사이버대학/ 방송통신대학생 * 자세한 사항은 첨부파일 참고고","학교장 또는 관련단체장 추천","대학생 장학금 신청서재학증명서성적증명서학생 주민등록 등본학생 가족관계 증명서학자금 수혜 확인서(본인 또는 부모 재직 회사 발급)보호자 통장사본개인정보 수집·이용·제공 및 조회 동의서추가 증빙서류(해당자)장학생 추천서입상근거서류 * 자세한 사항은 첨부파일 참조"
"81","울진군장학재단","복지장학금","지자체","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","직전학기 성적 평점 1.0 이상(4.5점만점)/ 12학점 이상 이수자","기초생활수급자 의료급여수급자(차상위 등)","1000000원","해당없음","공고일 기준으로 부모(보호자)가 주민등록을 울진군에 2년이상 두고 실거주중인 자","기관 확인 필요","해당없음"," * 총 1/390명1차 선발 : 1/200명 정도2차 선발 : 190명 정도","타 장학금(학자금)을 연 200만원 이상 지급받고 있는 경우에는 미지급대학원 및 정규대학교육과정을 초과하여 재학중인 자동일학년에 한해 휴학 전 울진군대학생장학금을 지급받은 복학생사이버대학/ 방송통신대학생학생 본인만 울진군에 주소지를 두고 타지역 대학에 재학중인 자","해당없음","대학생 장학금 신청서재학증명서성적증명서학생 주민등록 등본학생 가족관계 증명서학자금 수혜 확인서(본인 또는 부모 재직 회사 발급)보호자 통장사본개인정보 수집·이용·제공 및 조회 동의서부모 또는 학생의 수급자증명서 또는 의료급여대상자 증명서추가 증빙서류(해당자)"
"82","울진군장학재단","학업우수(직장인포함)장학금","지자체","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","22년도 1학기 성적 평점 2.0(4.5만점)이상","해당없음","1000000원","해당없음","공고일 기준으로 주민등록이 계속하여 울진군 관내에 2년 이상이며 실거주중인 군민 또는 군민의 자녀","기관 확인 필요","성적순 선발","1차 선발 : 1/200명 정도(접수인원에 따라 조정)2차 선발 :   190명 정도(복학생/ 1차 미접수자 등)","타 장학금(학자금)을 연 150만원 이상 지급받고 있는 경우(단/ 대학에서 수령한 장학금 및 국가 장학금은 중복수혜로 보지 않음)대학원 및 정규대학교육과정을 초과하여 재학중인자동일학년에 한해 휴학전 울진군대학생장학금을 지급받은 복학생사이버대학/ 방송통신대학생","해당없음","대학생 장학금 신청서재학증명서성적증명서 학생/부모 주민등록 초본학생의 가족관계 증명서학생 및 부모가 회사 재직시에는 회사에서 발급하는 장학금 수혜 확인서보호자 통장사본개인정보 수집·이용·제공 및 조회 동의서 * 자세한 사항은 첨부파일 혹은 홈페이지 참고 필수* 자세한 사항은 첨부파일 또는 울진군장학재단 홈페이지 참고고"
"83","순천시인재육성장학회","성적우수장학금","지자체","장학금","지역연고","4년제(5~6년제포함)/원격대학/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","직전학기 성적이 (3.5/4.5만점)이상이고/ 직전학기 이수학점이 12학점 이상","해당없음","방송통신대학생 : 1000000원대학생(23년제) : 2000000원대학생(4년제) : 3000000원","국내 소재 대학 재학 중인 학생","공고일 현재 친권자(후견인)과 학생 본인이 순천시에 주민등록을 두고 2년 이상 계속 거주 하고 있는 대학생대학생 본인의 경우 타지역 거주 인정","2021-10-18~2021-10-29","선정기준 : 학업성적과 소득평가를 동시 반영/ 환산점수 동점 시 성적 우선"," * 총 23명방송통신대학생 1명대학생(2/3년제) 5명대학생(4년제) 17명","국외소재 대학생국가 등으로부터 학비 등을 지워받는 육사/ 해사/ 공사/ 경찰대 등은 제외한다.1가구 2명 이상 지급 불가 * 자세한 사항은 첨부파일 참조","해당없음","순천시인재육성장학금신청서개인정보 수집·이용 및 제공·조회 동의서 주민등록 등본가족관계증명서재학증명서통장사본직전학기 성적증명서건강보험료 납부 확인서건강보험 자격확인서장학금 수혜확인서"
"84","순천시인재육성장학회","다자녀장학금","지자체","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","직전학기 성적이 2.5이상(4.5만점) 인 자","해당없음","2000000원","다자녀 가정의 대학교 자녀 * 다자녀 가정 : 부·모 명의 가족관계증명서에 본인을 포함한 형제자매가 3명 이상인 가구","공고일 현재 친권자(후견인)과 학생 본인이 순천시에 주민등록을 두고 2년 이상 계속 거주 하고 있는 대학생대학생 본인의 경우 타지역 거주 인정","2021-10-18~2021-10-29","자녀수 (우선적으로 다자녀 가정 학생을 선발하고/ 동일 점수자에 대하여는 성적 우수 장학금 심사기준에 의해 선발)","20명","국외소재 대학생국가 등으로부터 학비 등을 지워받는 육사/ 해사/ 공사/ 경찰대 등은 제외한다.1가구 2명 이상 지급 불가 * 자세한 사항은 첨부파일 참조","해당없음","순천시인재육성장학금신청서개인정보 수집·이용 및 제공·조회 동의서 주민등록 등본가족관계증명서재학증명서통장사본직전학기 성적증명서건강보험료 납부 확인서건강보험 자격확인서장학금 수혜확인서부모의 가족관계증명서 * 자세한 사항은 첨부파일 참조"
